"acs_year","community_area","under_25_000","_25_000_to_49_999","_50_000_to_74_999","_75_000_to_125_000","_125_000","male_0_to_17","male_18_to_24","male_25_to_34","male_35_to_49","male_50_to_64","male_65","female_0_to_17","female_18_to_24","female_25_to_34","female_35_to_49","female_50_to_64","female_65","total_population","white","black_or_african_american","american_indian_or_alaska","asian","native_hawaiin_or_pacific","other_race","multiracial","white_not_hispanic_or_latino","hispanic_or_latino","record_id"
"2023","HERMOSA","549.0","1273.0","974.0","1270.0","1148.0","2900.0","1411.0","1738.0","2605.0","1995.0","1238.0","2498.0","1370.0","1601.0","2157.0","1895.0","1794.0","23200.0","8318.0","1087.0","107.0","702.0","11.0","8182.0","4793.0","2866.0","18578.0","2023_HERMOSA"
"2023","HUMBOLDT PARK","2099.0","3124.0","2632.0","2200.0","1901.0","7097.0","2493.0","4083.0","5546.0","4563.0","2115.0","7596.0","2530.0","5466.0","6141.0","4312.0","3073.0","55015.0","14677.0","19829.0","820.0","1335.0","0.0","11664.0","6691.0","6488.0","27389.0","2023_HUMBOLDT PARK"
"2023","HYDE PARK","301.0","255.0","309.0","731.0","2078.0","1599.0","3025.0","2476.0","1535.0","1527.0","1245.0","1619.0","3157.0","2614.0","1916.0","1683.0","1696.0","24092.0","11509.0","6143.0","49.0","3763.0","0.0","604.0","2024.0","10805.0","1762.0","2023_HYDE PARK"
"2023","IRVING PARK","1028.0","1882.0","1674.0","2798.0","5232.0","5486.0","1611.0","5235.0","6967.0","5024.0","2446.0","6188.0","1507.0","4820.0","6725.0","4160.0","3365.0","53535.0","31156.0","2073.0","205.0","5083.0","139.0","7625.0","7253.0","24178.0","20637.0","2023_IRVING PARK"
"2023","JEFFERSON PARK","521.0","751.0","814.0","1744.0","2965.0","2525.0","940.0","1972.0","3183.0","2898.0","1593.0","2964.0","775.0","2174.0","2846.0","2534.0","2586.0","26991.0","17913.0","695.0","66.0","3399.0","44.0","2070.0","2805.0","15345.0","6786.0","2023_JEFFERSON PARK"
"2023","KENWOOD","564.0","296.0","116.0","646.0","1254.0","1502.0","480.0","1052.0","1167.0","1308.0","1034.0","1548.0","450.0","1156.0","1542.0","1566.0","1564.0","14368.0","2958.0","9791.0","18.0","697.0","4.0","124.0","775.0","2804.0","383.0","2023_KENWOOD"
"2023","LAKE VIEW","627.0","661.0","860.0","1969.0","10739.0","5822.0","5510.0","16503.0","9710.0","5596.0","3406.0","5587.0","6195.0","15126.0","8311.0","4827.0","4058.0","90652.0","71631.0","3913.0","146.0","6386.0","88.0","2415.0","6073.0","67784.0","8979.0","2023_LAKE VIEW"
"2023","LINCOLN PARK","309.0","346.0","381.0","1224.0","8892.0","5078.0","4436.0","9024.0","5351.0","4012.0","2907.0","4564.0","5376.0","9145.0","5074.0","4180.0","2920.0","62067.0","50933.0","2283.0","25.0","4319.0","7.0","1261.0","3238.0","49078.0","4274.0","2023_LINCOLN PARK"
"2023","LINCOLN SQUARE","576.0","1022.0","1173.0","2162.0","4410.0","3588.0","1258.0","4535.0","5778.0","3366.0","1739.0","3553.0","1589.0","5379.0","5576.0","3357.0","2462.0","42180.0","28731.0","1623.0","280.0","4345.0","0.0","2662.0","4539.0","25776.0","8311.0","2023_LINCOLN SQUARE"
"2023","LOGAN SQUARE","1259.0","1521.0","1329.0","2708.0","7008.0","5469.0","2746.0","11445.0","9136.0","3989.0","2501.0","6219.0","3131.0","11399.0","8192.0","4007.0","3121.0","71354.0","45894.0","4355.0","481.0","3344.0","78.0","5260.0","11942.0","36570.0","24808.0","2023_LOGAN SQUARE"
